region,SOC_label,age group,Observation
London,Sales and customer services,Aged 24 years and under,61206
London,Sales and customer services,Aged 25 to 34 years,74011
London,Sales and customer services,Aged 35 to 49 years,77381
London,Sales and customer services,Aged 50 to 64 years,55028
London,Sales and customer services,Aged 65 years and over,9234
London,"Process, plant and machine operatives",Aged 24 years and under,12370
London,"Process, plant and machine operatives",Aged 25 to 34 years,41578
London,"Process, plant and machine operatives",Aged 35 to 49 years,82701
London,"Process, plant and machine operatives",Aged 50 to 64 years,73351
London,"Process, plant and machine operatives",Aged 65 years and over,9351
London,Elementary occupations,Aged 24 years and under,55520
London,Elementary occupations,Aged 25 to 34 years,88986
London,Elementary occupations,Aged 35 to 49 years,133832
London,Elementary occupations,Aged 50 to 64 years,109691
London,Elementary occupations,Aged 65 years and over,14689
South East,"Managers, directors and senior officials",Aged 24 years and under,15921
South East,"Managers, directors and senior officials",Aged 25 to 34 years,98695
South East,"Managers, directors and senior officials",Aged 35 to 49 years,270843
South East,"Managers, directors and senior officials",Aged 50 to 64 years,239597
South East,"Managers, directors and senior officials",Aged 65 years and over,40367
South East,Professional occupations,Aged 24 years and under,47619
South East,Professional occupations,Aged 25 to 34 years,227861
South East,Professional occupations,Aged 35 to 49 years,381255
South East,Professional occupations,Aged 50 to 64 years,257348
South East,Professional occupations,Aged 65 years and over,34830
South East,Associate professional and technical,Aged 24 years and under,64069
South East,Associate professional and technical,Aged 25 to 34 years,164950
South East,Associate professional and technical,Aged 35 to 49 years,227497
South East,Associate professional and technical,Aged 50 to 64 years,159714
South East,Associate professional and technical,Aged 65 years and over,21322
South East,Administrative and secretarial,Aged 24 years and under,36066
South East,Administrative and secretarial,Aged 25 to 34 years,79678
South East,Administrative and secretarial,Aged 35 to 49 years,129404
South East,Administrative and secretarial,Aged 50 to 64 years,148169
South East,Administrative and secretarial,Aged 65 years and over,24838
South East,Skilled trades,Aged 24 years and under,47610
South East,Skilled trades,Aged 25 to 34 years,97188
South East,Skilled trades,Aged 35 to 49 years,138508
South East,Skilled trades,Aged 50 to 64 years,139347
South East,Skilled trades,Aged 65 years and over,24664
South East,"Caring, leisure and other services",Aged 24 years and under,55089
South East,"Caring, leisure and other services",Aged 25 to 34 years,86674
South East,"Caring, leisure and other services",Aged 35 to 49 years,127258
South East,"Caring, leisure and other services",Aged 50 to 64 years,120977
South East,"Caring, leisure and other services",Aged 65 years and over,16894
South East,Sales and customer services,Aged 24 years and under,82058
South East,Sales and customer services,Aged 25 to 34 years,64654
South East,Sales and customer services,Aged 35 to 49 years,69587
South East,Sales and customer services,Aged 50 to 64 years,73977
South East,Sales and customer services,Aged 65 years and over,14719
South East,"Process, plant and machine operatives",Aged 24 years and under,16449
South East,"Process, plant and machine operatives",Aged 25 to 34 years,46121
South East,"Process, plant and machine operatives",Aged 35 to 49 years,80316
South East,"Process, plant and machine operatives",Aged 50 to 64 years,89694
South East,"Process, plant and machine operatives",Aged 65 years and over,15782
South East,Elementary occupations,Aged 24 years and under,81111
South East,Elementary occupations,Aged 25 to 34 years,79081
South East,Elementary occupations,Aged 35 to 49 years,108020
South East,Elementary occupations,Aged 50 to 64 years,108074
South East,Elementary occupations,Aged 65 years and over,17881
South West,"Managers, directors and senior officials",Aged 24 years and under,9603
South West,"Managers, directors and senior officials",Aged 25 to 34 years,53783
South West,"Managers, directors and senior officials",Aged 35 to 49 years,129427
South West,"Managers, directors and senior officials",Aged 50 to 64 years,126663
South West,"Managers, directors and senior officials",Aged 65 years and over,24692
South West,Professional occupations,Aged 24 years and under,27246
South West,Professional occupations,Aged 25 to 34 years,128155
South West,Professional occupations,Aged 35 to 49 years,196515
South West,Professional occupations,Aged 50 to 64 years,142831
South West,Professional occupations,Aged 65 years and over,18958
South West,Associate professional and technical,Aged 24 years and under,35270
South West,Associate professional and technical,Aged 25 to 34 years,87554
South West,Associate professional and technical,Aged 35 to 49 years,117889
South West,Associate professional and technical,Aged 50 to 64 years,91206
South West,Associate professional and technical,Aged 65 years and over,12981
South West,Administrative and secretarial,Aged 24 years and under,21615
South West,Administrative and secretarial,Aged 25 to 34 years,48163
South West,Administrative and secretarial,Aged 35 to 49 years,76305
South West,Administrative and secretarial,Aged 50 to 64 years,89744
South West,Administrative and secretarial,Aged 65 years and over,14430
South West,Skilled trades,Aged 24 years and under,35758
South West,Skilled trades,Aged 25 to 34 years,68092
South West,Skilled trades,Aged 35 to 49 years,96649
South West,Skilled trades,Aged 50 to 64 years,103713
South West,Skilled trades,Aged 65 years and over,21804
South West,"Caring, leisure and other services",Aged 24 years and under,36952
South West,"Caring, leisure and other services",Aged 25 to 34 years,58343
South West,"Caring, leisure and other services",Aged 35 to 49 years,77974
South West,"Caring, leisure and other services",Aged 50 to 64 years,81881
South West,"Caring, leisure and other services",Aged 65 years and over,11775
South West,Sales and customer services,Aged 24 years and under,50954
South West,Sales and customer services,Aged 25 to 34 years,41783
South West,Sales and customer services,Aged 35 to 49 years,43614
South West,Sales and customer services,Aged 50 to 64 years,54657
South West,Sales and customer services,Aged 65 years and over,11346
South West,"Process, plant and machine operatives",Aged 24 years and under,12546
South West,"Process, plant and machine operatives",Aged 25 to 34 years,31349
South West,"Process, plant and machine operatives",Aged 35 to 49 years,52348
South West,"Process, plant and machine operatives",Aged 50 to 64 years,65759
South West,"Process, plant and machine operatives",Aged 65 years and over,11762
South West,Elementary occupations,Aged 24 years and under,58472
South West,Elementary occupations,Aged 25 to 34 years,52598
South West,Elementary occupations,Aged 35 to 49 years,68846
South West,Elementary occupations,Aged 50 to 64 years,77209
South West,Elementary occupations,Aged 65 years and over,13119
Wales,"Managers, directors and senior officials",Aged 24 years and under,4056
Wales,"Managers, directors and senior officials",Aged 25 to 34 years,23125
Wales,"Managers, directors and senior officials",Aged 35 to 49 years,54371
